BROAD Discipline (FOE) ,NARROW Discipline (FOE) ,DETAILED Discipline (FOE) ,Funding Cluster,2024 Maximum Student Contibution,2024 Commonwealth Contribution,"Special Course Type Code for the Course of Study
(E312 of 27)","Maximum student contribution indicator
(E392 =8)",2024 Grandfathered Maximum Student Contibution,2024 Grandfathered Maximum Student Contibution
09 - SOCIETY AND CULTURE,0907 - Behavioural Science,090701 - Psychology,Funding Cluster 1,"$16,323","$1,236",Not E312=27,Not E392=8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0907 - Behavioural Science,090701 - Psychology,Funding Cluster 2,"$4,445","$14,915",27,Not E392=8,"$4,445","$4,445"
09 - SOCIETY AND CULTURE,0907 - Behavioural Science,090701 - Psychology,Funding Cluster 2,"$8,948","$14,915",Not E312=27,8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0907 - Behavioural Science,090700 - Behavioural Science,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Not E392=8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0907 - Behavioural Science,090700 - Behavioural Science,Funding Cluster 2,"$8,948","$14,915",Any E312 value,8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0907 - Behavioural Science,"090799 - Behavioural Science, n.e.c.",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Not E392=8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0907 - Behavioural Science,"090799 - Behavioural Science, n.e.c.",Funding Cluster 2,"$8,948","$14,915",Any E312 value,8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0905 - Human Welfare Studies and Services,090500 - Human Welfare Studies and Services,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Not E392=8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0905 - Human Welfare Studies and Services,090500 - Human Welfare Studies and Services,Funding Cluster 2,"$8,948","$14,915",Any E312 value,8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0905 - Human Welfare Studies and Services,090501 - Social Work,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Not E392=8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0905 - Human Welfare Studies and Services,090501 - Social Work,Funding Cluster 2,"$8,948","$14,915",Any E312 value,8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0905 - Human Welfare Studies and Services,090503 - Children's Services,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Not E392=8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0905 - Human Welfare Studies and Services,090503 - Children's Services,Funding Cluster 2,"$8,948","$14,915",Any E312 value,8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0905 - Human Welfare Studies and Services,090505 - Youth Work,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Not E392=8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0905 - Human Welfare Studies and Services,090505 - Youth Work,Funding Cluster 2,"$8,948","$14,915",Any E312 value,8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0905 - Human Welfare Studies and Services,090507 - Care for the Aged,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Not E392=8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0905 - Human Welfare Studies and Services,090507 - Care for the Aged,Funding Cluster 2,"$8,948","$14,915",Any E312 value,8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0905 - Human Welfare Studies and Services,090509 - Care for the Disabled,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Not E392=8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0905 - Human Welfare Studies and Services,090509 - Care for the Disabled,Funding Cluster 2,"$8,948","$14,915",Any E312 value,8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0905 - Human Welfare Studies and Services,090511 - Residential Client Care,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Not E392=8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0905 - Human Welfare Studies and Services,090511 - Residential Client Care,Funding Cluster 2,"$8,948","$14,915",Any E312 value,8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0905 - Human Welfare Studies and Services,090513 - Counselling,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Not E392=8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0905 - Human Welfare Studies and Services,090513 - Counselling,Funding Cluster 2,"$8,948","$14,915",Any E312 value,8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0905 - Human Welfare Studies and Services,090515 - Welfare Studies,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Not E392=8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0905 - Human Welfare Studies and Services,090515 - Welfare Studies,Funding Cluster 2,"$8,948","$14,915",Any E312 value,8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0905 - Human Welfare Studies and Services,"090599 - Human Welfare Studies and Services, n.e.c.",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Not E392=8,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0905 - Human Welfare Studies and Services,"090599 - Human Welfare Studies and Services, n.e.c.",Funding Cluster 2,"$8,948","$14,915",Any E312 value,8,"$7,659","$7,659"
06 - HEALTH,0699 - Other Health,069903 - Human Movement,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
08 - MANAGEMENT AND COMMERCE,0801 - Accounting,080100 - Accounting,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0801 - Accounting,080101 - Accounting,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0803 - Business and Management,080300 - Business and Management,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0803 - Business and Management,080301 - Business Management,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0803 - Business and Management,080303 - Human Resource Management,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0803 - Business and Management,080305 - Personal Management Training,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0803 - Business and Management,080307 - Organisation Management,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0803 - Business and Management,080309 - Industrial Relations,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0803 - Business and Management,080311 - International Business,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0803 - Business and Management,080313 - Public and Health Care Administration,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0803 - Business and Management,080315 - Project Management,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0803 - Business and Management,080317 - Quality Management,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0803 - Business and Management,080319 - Hospitality Management,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0803 - Business and Management,080321 - Farm Management and Agribusiness,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0803 - Business and Management,080323 - Tourism Management,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0803 - Business and Management,"080399 - Business and Management, n.e.c.",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0805 - Sales and Marketing,080500 - Sales and Marketing,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
