foe_code,cluster_code,course_id,eftsl,CSP_student_contribution,CSP_commonwealth_contribution
10100,1,2951,0.75,3333.75,11186.25
10100,1,2951,0.5,2222.5,7457.5
10100,1,2951,0.5,2222.5,7457.5
10100,1,2976,0.5,2222.5,7457.5
10100,1,2976,0.25,1111.25,3728.75
10100,1,3029,0.25,1111.25,3728.75
10100,1,3277,0.25,1111.25,3728.75
10100,1,2954,0.125,555.625,1864.375
10100,1,2978,0.125,555.625,1864.375
10100,1,3028,0.125,555.625,1864.375
10100,1,3029,0.125,555.625,1864.375
10100,1,3277,0.125,555.625,1864.375
10100,1,3314,0.125,555.625,1864.375
10101,1,2976,43.75,194468.75,652531.25
10101,1,2956,41.0,182245.0,611515.0
10101,1,2956,38.375,170576.875,572363.125
10101,1,2956,28.25,125571.25,421348.75
10101,1,2976,24.125,107235.625,359824.375
10101,1,3957,22.375,99456.875,333723.125
10101,1,2978,19.5,86677.5,290842.5
10101,1,4733,17.375,77231.875,259148.125
10101,1,3029,14.25,63341.25,212538.75
10101,1,3029,13.25,58896.25,197623.75
10101,1,2978,12.75,56673.75,190166.25
10101,1,3028,12.375,55006.875,184573.125
10101,1,3028,12.0,53340.0,178980.0
10101,1,2956,10.875,48339.375,162200.625
10101,1,2976,10.75,47783.75,160336.25
10101,1,3029,9.5,42227.5,141692.5
10101,1,2976,8.375,37226.875,124913.125
10101,1,4733,8.25,36671.25,123048.75
10101,1,2956,7.625,33893.125,113726.875
10101,1,2976,6.125,27225.625,91354.375
10101,1,3277,6.125,27225.625,91354.375
10101,1,2976,5.875,26114.375,87625.625
10101,1,3277,5.625,25003.125,83896.875
10101,1,4733,5.625,25003.125,83896.875
10101,1,3028,5.5,24447.5,82032.5
10101,1,2976,4.625,20558.125,68981.875
10101,1,4733,3.875,17224.375,57795.625
10101,1,2976,3.75,16668.75,55931.25
10101,1,3029,3.375,15001.875,50338.125
10101,1,3315,3.375,15001.875,50338.125
10101,1,2976,3.25,14446.25,48473.75
10101,1,3315,3.25,14446.25,48473.75
10101,1,3028,3.125,13890.625,46609.375
10101,1,2976,3.0,13335.0,44745.0
10101,1,3029,3.0,13335.0,44745.0
10101,1,3028,2.875,12779.375,42880.625
10101,1,2976,2.625,11668.125,39151.875
10101,1,2976,2.625,11668.125,39151.875
