"row_id","broad_discipline_foe","narrow_discipline_foe","detailed_discipline_foe","funding_cluster","max_student_contribution_2024","commonwealth_contribution_2024","foe_code"
"23","09 - SOCIETY AND CULTURE","0905 - Human Welfare Studies and Services","090513 - Counselling","Funding Cluster 2","$8,948","$14,915","090513"
"24","09 - SOCIETY AND CULTURE","0905 - Human Welfare Studies and Services","090515 - Welfare Studies","Funding Cluster 1","$16,323","$1,236","090515"
"2","09 - SOCIETY AND CULTURE","0907 - Behavioural Science","090701 - Psychology","Funding Cluster 2","$4,445","$14,915","090701"
"365","03 - ENGINEERING AND RELATED TECHNOLOGIES","0309 - Civil Engineering","030909 - Transport Engineering","Funding Cluster 3","$8,948","$18,292","030909"
"25","09 - SOCIETY AND CULTURE","0905 - Human Welfare Studies and Services","090515 - Welfare Studies","Funding Cluster 2","$8,948","$14,915","090515"
"26","09 - SOCIETY AND CULTURE","0905 - Human Welfare Studies and Services","090599 - Human Welfare Studies and Services, n.e.c.","Funding Cluster 1","$16,323","$1,236","090599"
"27","09 - SOCIETY AND CULTURE","0905 - Human Welfare Studies and Services","090599 - Human Welfare Studies and Services, n.e.c.","Funding Cluster 2","$8,948","$14,915","090599"
"28","06 - HEALTH","0699 - Other Health","069903 - Human Movement","Funding Cluster 1","$16,323","$1,236","069903"
"29","08 - MANAGEMENT AND COMMERCE","0801 - Accounting","080100 - Accounting","Funding Cluster 1","$16,323","$1,236","080100"
"30","08 - MANAGEMENT AND COMMERCE","0801 - Accounting","080101 - Accounting","Funding Cluster 1","$16,323","$1,236","080101"
"31","08 - MANAGEMENT AND COMMERCE","0803 - Business and Management","080300 - Business and Management","Funding Cluster 1","$16,323","$1,236","080300"
"32","08 - MANAGEMENT AND COMMERCE","0803 - Business and Management","080301 - Business Management","Funding Cluster 1","$16,323","$1,236","080301"
"33","08 - MANAGEMENT AND COMMERCE","0803 - Business and Management","080303 - Human Resource Management","Funding Cluster 1","$16,323","$1,236","080303"
"34","08 - MANAGEMENT AND COMMERCE","0803 - Business and Management","080305 - Personal Management Training","Funding Cluster 1","$16,323","$1,236","080305"
"35","08 - MANAGEMENT AND COMMERCE","0803 - Business and Management","080307 - Organisation Management","Funding Cluster 1","$16,323","$1,236","080307"
"36","08 - MANAGEMENT AND COMMERCE","0803 - Business and Management","080309 - Industrial Relations","Funding Cluster 1","$16,323","$1,236","080309"
"37","08 - MANAGEMENT AND COMMERCE","0803 - Business and Management","080311 - International Business","Funding Cluster 1","$16,323","$1,236","080311"
"38","08 - MANAGEMENT AND COMMERCE","0803 - Business and Management","080313 - Public and Health Care Administration","Funding Cluster 1","$16,323","$1,236","080313"
"39","08 - MANAGEMENT AND COMMERCE","0803 - Business and Management","080315 - Project Management","Funding Cluster 1","$16,323","$1,236","080315"
"40","08 - MANAGEMENT AND COMMERCE","0803 - Business and Management","080317 - Quality Management","Funding Cluster 1","$16,323","$1,236","080317"
"41","08 - MANAGEMENT AND COMMERCE","0803 - Business and Management","080319 - Hospitality Management","Funding Cluster 1","$16,323","$1,236","080319"
"42","08 - MANAGEMENT AND COMMERCE","0803 - Business and Management","080321 - Farm Management and Agribusiness","Funding Cluster 1","$16,323","$1,236","080321"
"43","08 - MANAGEMENT AND COMMERCE","0803 - Business and Management","080323 - Tourism Management","Funding Cluster 1","$16,323","$1,236","080323"
"44","08 - MANAGEMENT AND COMMERCE","0803 - Business and Management","080399 - Business and Management, n.e.c.","Funding Cluster 1","$16,323","$1,236","080399"
