"enrol_id","foe_code","eftsl","student_contribution","commonwealth_contribution","tuition_amount","enrol_unit"
"80829","100101","0.500","4474.00","7457.50","11931.50",4
"80830","061300","0.125","1118.50","1864.38","2982.88",1
"80831","069903","1.000","16323.00","1236.00","17559.00",8
"80832","100101","1.250","11185.00","18643.75","29828.75",10
"80833","100101","1.250","11185.00","18643.75","29828.75",10
"80834","080505","0.375","6121.13","463.50","6584.63",3
"80835","020103","27.750","248307.00","413891.25","662198.25",222
"80836","090900","6.375","104059.13","7879.50","111938.63",51
"80837","080101","0.375","6121.13","463.50","6584.63",3
"80838","090911","0.125","2040.38","154.50","2194.88",1
"80839","100101","0.375","3355.50","5593.13","8948.63",3
"80840","069903","0.250","4080.75","309.00","4389.75",2
"80841","090900","0.125","2040.38","154.50","2194.88",1
"80842","080101","0.250","4080.75","309.00","4389.75",2
"80843","061300","0.250","2237.00","3728.75","5965.75",2
"80844","080505","0.125","2040.38","154.50","2194.88",1
"80845","100101","0.125","1118.50","1864.38","2982.88",1
"80846","090900","0.125","2040.38","154.50","2194.88",1
"80847","080505","0.125","2040.38","154.50","2194.88",1
"80848","010303","0.125","1118.50","2286.50","3405.00",1
"80849","061311","0.250","2237.00","3728.75","5965.75",2
"80850","010915","0.250","2237.00","4573.00","6810.00",2
"80851","100301","3.375","30199.50","50338.13","80537.63",27
"80852","090900","0.125","2040.38","154.50","2194.88",1
"80853","010703","0.250","2237.00","4573.00","6810.00",2
"80854","091103","0.375","6121.13","463.50","6584.63",3
"80855","080307","0.125","2040.38","154.50","2194.88",1
"80856","061301","0.375","3355.50","5593.13","8948.63",3
"80857","010103","0.375","1666.88","5593.13","7260.00",3
"80858","061300","0.625","5592.50","9321.88","14914.38",5
"80859","061300","0.500","4474.00","7457.50","11931.50",4
"80860","061399","0.250","2237.00","3728.75","5965.75",2
"80861","061307","0.750","6711.00","11186.25","17897.25",6
"80862","061300","0.750","6711.00","11186.25","17897.25",6
"80863","061311","0.375","3355.50","5593.13","8948.63",3
"80864","061300","0.250","2237.00","3728.75","5965.75",2
"80865","061311","0.750","6711.00","11186.25","17897.25",6
"80866","061300","0.375","3355.50","5593.13","8948.63",3
"80867","061399","0.625","5592.50","9321.88","14914.38",5
"80868","061300","0.500","4474.00","7457.50","11931.50",4
"80869","061300","0.125","1118.50","1864.38","2982.88",1
"80870","060109","0.125","1590.00","3799.38","5389.38",1
"80871","061305","0.250","2237.00","3728.75","5965.75",2
"80872","040103","0.250","2237.00","3728.75","5965.75",2
"80873","061300","0.500","4474.00","7457.50","11931.50",4
"80874","010101","0.250","1111.25","3728.75","4840.00",2
"80875","010101","0.125","555.63","1864.38","2420.00",1
"80876","091500","0.250","1111.25","3728.75","4840.00",2
"80877","010500","0.125","1118.50","2286.50","3405.00",1
"80878","090311","0.250","4080.75","309.00","4389.75",2
"80879","091521","0.125","555.63","1864.38","2420.00",1
"80880","010103","0.250","1111.25","3728.75","4840.00",2
"80881","091701","0.625","10201.88","772.50","10974.38",5
"80882","091505","0.875","3889.38","16005.50","19894.88",7
"80883","090900","0.500","8161.50","618.00","8779.50",4
"80884","090300","2.750","44888.25","3399.00","48287.25",22
"80885","100101","0.250","2237.00","3728.75","5965.75",2
"80886","090399","8.000","130584.00","9888.00","140472.00",64
"80887","100700","0.125","2040.38","154.50","2194.88",1
"80888","091505","0.125","555.63","2286.50","2842.13",1
"80889","090300","3.250","53049.75","4017.00","57066.75",26
"80890","090399","7.750","126503.25","9579.00","136082.25",62
"80891","091505","0.250","1111.25","4573.00","5684.25",2
"80892","100101","0.125","1118.50","1864.38","2982.88",1
"80893","090399","0.125","2040.38","154.50","2194.88",1
"80894","090300","2.000","32646.00","2472.00","35118.00",16
"80895","090307","1.000","16323.00","1236.00","17559.00",8
"80896","090399","0.250","4080.75","309.00","4389.75",2
"80897","090999","0.750","12242.25","927.00","13169.25",6
"80898","090999","0.750","12242.25","927.00","13169.25",6
"80899","090307","1.250","20403.75","1545.00","21948.75",10
"80900","091505","0.750","3333.75","13719.00","17052.75",6
"80901","091505","0.250","1111.25","4573.00","5684.25",2
"80902","091505","0.250","1111.25","4573.00","5684.25",2
"85047","050999","0.250","2237.00","4573.00","6810.00",2
"80903","090305","0.375","6121.13","463.50","6584.63",3
"80904","100701","1.500","24484.50","1854.00","26338.50",12
"80905","090303","1.750","28565.25","2163.00","30728.25",14
"80906","090905","0.500","8161.50","618.00","8779.50",4
"80907","090101","0.250","4080.75","309.00","4389.75",2
"80908","091701","0.875","14282.63","1081.50","15364.13",7
"80909","090305","0.625","10201.88","772.50","10974.38",5
"80910","100101","0.125","1118.50","1864.38","2982.88",1
"80911","090999","0.375","6121.13","463.50","6584.63",3
"80912","090103","0.125","2040.38","154.50","2194.88",1
"80913","090101","0.125","2040.38","154.50","2194.88",1
"80914","091523","1.875","8334.38","27965.63","36300.00",15
"80915","091523","1.500","6667.50","22372.50","29040.00",12
"80916","100799","0.125","2040.38","154.50","2194.88",1
"80917","091701","0.250","4080.75","309.00","4389.75",2
"80918","090305","0.750","12242.25","927.00","13169.25",6
"80919","090313","0.625","10201.88","772.50","10974.38",5
"80920","090909","0.125","2040.38","154.50","2194.88",1
"80921","091505","0.875","3889.38","16005.50","19894.88",7
"80922","090399","0.625","10201.88","772.50","10974.38",5
"80923","091505","0.875","3889.38","16005.50","19894.88",7
"80924","090305","0.625","10201.88","772.50","10974.38",5
"80925","091523","0.500","2222.50","7457.50","9680.00",4
"80926","091505","0.125","555.63","2286.50","2842.13",1
"80927","091523","1.500","6667.50","22372.50","29040.00",12
"80928","091701","0.125","2040.38","154.50","2194.88",1
"80929","100301","0.500","4474.00","7457.50","11931.50",4
"80930","100301","1.000","8948.00","14915.00","23863.00",8
"80931","100301","1.250","11185.00","18643.75","29828.75",10
"80932","099999","0.375","6121.13","463.50","6584.63",3
"80933","100301","0.375","3355.50","5593.13","8948.63",3
"80934","100301","1.000","8948.00","14915.00","23863.00",8
"80935","091303","0.250","4080.75","309.00","4389.75",2
"80936","099999","0.375","6121.13","463.50","6584.63",3
"80937","099999","0.750","12242.25","927.00","13169.25",6
"80938","099999","0.250","4080.75","309.00","4389.75",2
"80939","099999","0.375","6121.13","463.50","6584.63",3
"80940","090313","0.750","12242.25","927.00","13169.25",6
"80941","090313","0.750","12242.25","927.00","13169.25",6
"80942","010900","1.000","8948.00","18292.00","27240.00",8
"80943","010103","2.000","8890.00","29830.00","38720.00",16
"80944","100700","0.125","2040.38","154.50","2194.88",1
"80945","100700","0.125","2040.38","154.50","2194.88",1
"80946","069903","0.125","2040.38","154.50","2194.88",1
"80947","020119","0.250","2237.00","3728.75","5965.75",2
"80948","010901","1.875","16777.50","34297.50","51075.00",15
"80949","010901","1.875","16777.50","34297.50","51075.00",15
"80950","010901","0.750","6711.00","13719.00","20430.00",6
"80951","069900","0.125","1118.50","1864.38","2982.88",1
"80952","010915","0.250","2237.00","4573.00","6810.00",2
"80953","010905","1.000","8948.00","18292.00","27240.00",8
"80954","010901","1.750","15659.00","32011.00","47670.00",14
"80955","019999","0.375","3355.50","6859.50","10215.00",3
"80956","010101","0.125","555.63","1864.38","2420.00",1
"80957","010301","0.125","1118.50","2286.50","3405.00",1
"80958","010103","0.125","555.63","1864.38","2420.00",1
"80959","010905","0.125","1118.50","2286.50","3405.00",1
