"row_id","course_type_broad_name","funding_group_name","unit_level","unit_primary_foe_code","unit_primary_foe_detailed_name","unit_primary_foe_narrow_name","unit_primary_foe_broad_name","eftsl_2024"
"207","Undergraduate","Domestic - C'wealth Supported","4","100101","Music","Performing Arts","Creative Arts","0.500"
"869","Undergraduate","Domestic - C'wealth Supported","1","061300","Public Health","Public Health","Health","0.125"
"1316","Undergraduate","Domestic - C'wealth Supported","1","069903","Human Movement","Other Health","Health","1.000"
"1634","Undergraduate","Domestic - C'wealth Supported","1","100101","Music","Performing Arts","Creative Arts","1.250"
"2606","Undergraduate","Domestic - C'wealth Supported","1","100101","Music","Performing Arts","Creative Arts","1.250"
"2655","Undergraduate","Domestic - C'wealth Supported","3","080505","Marketing","Sales And Marketing","Management And Commerce","0.375"
"2799","Undergraduate","Domestic - C'wealth Supported","1","020103","Programming","Computer Science","Information Technology","27.750"
"3620","Undergraduate","Domestic - C'wealth Supported","1","090900","Law","Law","Society And Culture","6.375"
"6129","Undergraduate","Domestic - C'wealth Supported","2","080101","Accounting","Accounting","Management And Commerce","0.375"
"6455","Undergraduate","Domestic - C'wealth Supported","3","090911","Taxation Law","Law","Society And Culture","0.125"
"7144","Undergraduate","Domestic - C'wealth Supported","1","100101","Music","Performing Arts","Creative Arts","0.375"
"7474","Undergraduate","Domestic - C'wealth Supported","2","069903","Human Movement","Other Health","Health","0.250"
"7778","Postgraduate Coursework","Domestic - C'wealth Supported","5","090900","Law","Law","Society And Culture","0.125"
"1","Postgraduate Coursework","Domestic - C'wealth Supported","5","080101","Accounting","Accounting","Management And Commerce","0.250"
"7","Postgraduate Coursework","Domestic - C'wealth Supported","5","061300","Public Health","Public Health","Health","0.250"
"243","Undergraduate","Domestic - C'wealth Supported","3","080505","Marketing","Sales And Marketing","Management And Commerce","0.125"
"8546","Undergraduate","Domestic - C'wealth Supported","2","100101","Music","Performing Arts","Creative Arts","0.125"
"8676","Undergraduate","Domestic - C'wealth Supported","0","090900","Law","Law","Society And Culture","0.125"
"244","Undergraduate","Domestic - C'wealth Supported","3","080505","Marketing","Sales And Marketing","Management And Commerce","0.125"
"615","Undergraduate","Domestic - C'wealth Supported","3","010303","Astronomy","Physics And Astronomy","Natural And Physical Sciences","0.125"
"8905","Undergraduate","Domestic - C'wealth Supported","2","061311","Epidemiology","Public Health","Health","0.250"
"802","Undergraduate","Domestic - C'wealth Supported","2","010915","Zoology","Biological Sciences","Natural And Physical Sciences","0.250"
"9807","Undergraduate","Domestic - C'wealth Supported","1","100301","Fine Arts","Visual Arts And Crafts","Creative Arts","3.375"
"10030","Undergraduate","Domestic - C'wealth Supported","1","090900","Law","Law","Society And Culture","0.125"
"10302","Undergraduate","Domestic - C'wealth Supported","3","010703","Geology","Earth Sciences","Natural And Physical Sciences","0.250"
"987","Undergraduate","Domestic - C'wealth Supported","3","091103","Legal Studies","Justice And Law Enforcement","Society And Culture","0.375"
"2","Postgraduate Coursework","Domestic - C'wealth Supported","5","080307","Organisation Management","Business And Management","Management And Commerce","0.125"
"3","Postgraduate Coursework","Domestic - C'wealth Supported","5","061301","Occupational Health And Safety","Public Health","Health","0.375"
"4","Postgraduate Coursework","Domestic - C'wealth Supported","4","010103","Statistics","Mathematical Sciences","Natural And Physical Sciences","0.375"
"5","Postgraduate Coursework","Domestic - C'wealth Supported","5","061300","Public Health","Public Health","Health","0.625"
"6","Postgraduate Coursework","Domestic - C'wealth Supported","5","061300","Public Health","Public Health","Health","0.500"
"8","Postgraduate Coursework","Domestic - C'wealth Supported","5","061399","Public Health Not Elsewhere Classified","Public Health","Health","0.250"
"9","Postgraduate Coursework","Domestic - C'wealth Supported","5","061307","Health Promotion","Public Health","Health","0.750"
"10","Postgraduate Coursework","Domestic - C'wealth Supported","5","061300","Public Health","Public Health","Health","0.750"
"11","Postgraduate Coursework","Domestic - C'wealth Supported","5","061311","Epidemiology","Public Health","Health","0.375"
