CourseTypeBroadName,FundingGroupName,,UnitLevelCode,UnitPrimaryFOECode,UnitPrimaryFOEDetailedName,UnitPrimaryFOENarrowName,UnitPrimaryFOEBroadName, 2024 EFTSL 
Postgraduate Coursework,Domestic - C'wealth Supported,,5,80101,Accounting,Accounting,Management And Commerce,0.25
Postgraduate Coursework,Domestic - C'wealth Supported,,5,80307,Organisation Management,Business And Management,Management And Commerce,0.125
Postgraduate Coursework,Domestic - C'wealth Supported,,5,61301,Occupational Health And Safety,Public Health,Health,0.375
Postgraduate Coursework,Domestic - C'wealth Supported,,4,10103,Statistics,Mathematical Sciences,Natural And Physical Sciences,0.375
Postgraduate Coursework,Domestic - C'wealth Supported,,5,61300,Public Health,Public Health,Health,0.625
Postgraduate Coursework,Domestic - C'wealth Supported,,5,61300,Public Health,Public Health,Health,0.5
Postgraduate Coursework,Domestic - C'wealth Supported,,5,61300,Public Health,Public Health,Health,0.25
Postgraduate Coursework,Domestic - C'wealth Supported,,5,61399,Public Health Not Elsewhere Classified,Public Health,Health,0.25
Postgraduate Coursework,Domestic - C'wealth Supported,,5,61307,Health Promotion,Public Health,Health,0.75
Postgraduate Coursework,Domestic - C'wealth Supported,,5,61300,Public Health,Public Health,Health,0.75
Postgraduate Coursework,Domestic - C'wealth Supported,,5,61311,Epidemiology,Public Health,Health,0.375
Postgraduate Coursework,Domestic - C'wealth Supported,,5,61300,Public Health,Public Health,Health,0.25
Postgraduate Coursework,Domestic - C'wealth Supported,,4,61311,Epidemiology,Public Health,Health,0.75
Postgraduate Coursework,Domestic - C'wealth Supported,,5,61300,Public Health,Public Health,Health,0.375
Postgraduate Coursework,Domestic - C'wealth Supported,,5,61399,Public Health Not Elsewhere Classified,Public Health,Health,0.625
Postgraduate Coursework,Domestic - C'wealth Supported,,5,61300,Public Health,Public Health,Health,0.5
Postgraduate Coursework,Domestic - C'wealth Supported,,5,61300,Public Health,Public Health,Health,0.125
Postgraduate Coursework,Domestic - C'wealth Supported,,4,60109,Paediatrics,Medical Studies,Health,0.125
Postgraduate Coursework,Domestic - C'wealth Supported,,5,61305,Indigenous Health,Public Health,Health,0.25
Postgraduate Coursework,Domestic - C'wealth Supported,,5,40103,Urban Design And Regional Planning,Architecture And Urban Environment,Architecture And Building,0.25
Postgraduate Coursework,Domestic - C'wealth Supported,,5,61300,Public Health,Public Health,Health,0.5
Undergraduate,Domestic - C'wealth Supported,,1,10101,Mathematics,Mathematical Sciences,Natural And Physical Sciences,0.25
Undergraduate,Domestic - C'wealth Supported,,1,10101,Mathematics,Mathematical Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,1,91500,Language And Literature,Language And Literature,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,1,10500,Chemical Sciences,Chemical Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,90311,Indigenous Studies,Studies In Human Society,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,4,91521,Linguistics,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,4,10103,Statistics,Mathematical Sciences,Natural And Physical Sciences,0.25
Undergraduate,Domestic - C'wealth Supported,,4,90701,Psychology,Behavioural Science,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,4,91701,Philosophy,Philosophy And Religious Studies,Society And Culture,0.625
Undergraduate,Domestic - C'wealth Supported,,4,91505,Southern European Languages,Language And Literature,Society And Culture,0.875
Undergraduate,Domestic - C'wealth Supported,,4,90900,Law,Law,Society And Culture,0.5
Undergraduate,Domestic - C'wealth Supported,,4,90300,Studies In Human Society,Studies In Human Society,Society And Culture,2.75
Undergraduate,Domestic - C'wealth Supported,,4,100101,Music,Performing Arts,Creative Arts,0.25
Undergraduate,Domestic - C'wealth Supported,,4,90399,Studies In Human Society Not Elsewhere Classified,Studies In Human Society,Society And Culture,8
Undergraduate,Domestic - C'wealth Supported,,5,100700,Communication And Media Studies,Communication And Media Studies,Creative Arts,0.125
Undergraduate,Domestic - C'wealth Supported,,4,91505,Southern European Languages,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,4,90300,Studies In Human Society,Studies In Human Society,Society And Culture,3.25
Undergraduate,Domestic - C'wealth Supported,,4,90399,Studies In Human Society Not Elsewhere Classified,Studies In Human Society,Society And Culture,7.75
Undergraduate,Domestic - C'wealth Supported,,4,91505,Southern European Languages,Language And Literature,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,4,100101,Music,Performing Arts,Creative Arts,0.125
Undergraduate,Domestic - C'wealth Supported,,4,90701,Psychology,Behavioural Science,Society And Culture,0.5
Undergraduate,Domestic - C'wealth Supported,,4,90701,Psychology,Behavioural Science,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,4,90701,Psychology,Behavioural Science,Society And Culture,0.5
Undergraduate,Domestic - C'wealth Supported,,4,90399,Studies In Human Society Not Elsewhere Classified,Studies In Human Society,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,4,90300,Studies In Human Society,Studies In Human Society,Society And Culture,2
Undergraduate,Domestic - C'wealth Supported,,4,90307,Archaeology,Studies In Human Society,Society And Culture,1
Undergraduate,Domestic - C'wealth Supported,,5,90399,Studies In Human Society Not Elsewhere Classified,Studies In Human Society,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,4,90999,Law Not Elsewhere Classified,Law,Society And Culture,0.75
Undergraduate,Domestic - C'wealth Supported,,4,90999,Law Not Elsewhere Classified,Law,Society And Culture,0.75
Undergraduate,Domestic - C'wealth Supported,,4,90701,Psychology,Behavioural Science,Society And Culture,0.5
Undergraduate,Domestic - C'wealth Supported,,4,90307,Archaeology,Studies In Human Society,Society And Culture,1.25
